Biomarker,Category,Normal Range,Units,Abnormal Condition,Diseases Associated
CRP,Inflammation,<3,mg/L,High,Infection
Procalcitonin,Infection,<0.1,ng/mL,High,Sepsis
Ferritin,Iron,30-400,ng/mL,High,Inflammation
Interleukin 6,Cytokine,<7,pg/mL,High,"Cytokine storm"
TNF Alpha,Cytokine,<8,pg/mL,High,"Autoimmune disease"

Prothrombin Time,Coagulation,11-13.5,sec,High,"Liver disease"
INR,Coagulation,0.8-1.2,ratio,High,"Bleeding disorder"
aPTT,Coagulation,25-35,sec,High,"Clotting disorder"
D Dimer,Coagulation,<500,ng/mL,High,Thrombosis
Fibrinogen,Coagulation,200-400,mg/dL,Low,DIC

Tau Protein,Neuro,<1.2,pg/mL,High,"Alzheimer disease"
Beta Amyloid 42,Neuro,500-1200,pg/mL,Low,"Alzheimer disease"
Neuron Specific Enolase,Neuro,<16,ng/mL,High,"Brain injury"
S100B,Neuro,<0.1,µg/L,High,"Brain damage"
